Name,Aired,Broadcast,Duration,Status,Type,Premiered,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites
Bucket no Naka no Kaka,"Dec 31, 2009",none,00:07:00,Finished Airing,ONA,none,1,G,Fantasy,none,none,none,375,0
Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,2019-11-22,none,00:25:00,Finished Airing,OVA,none,1,PG 13,"Mystery,Fantasy",none,none,LIDENFILMS,5958,3
Future GPX Cyber Formula: Early Days Renewal,"1996-04-01,1996-06-01",none,00:58:00,Finished Airing,OVA,none,2,PG 13,"Sci-Fi,Drama,Sports",none,none,Sunrise,801,1
Ginga Senpuu Braiger,"1981-10-06,1982-06-30",Unknown,00:23:00,Finished Airing,TV,Fall 1981,39,PG 13,"Adventure,Action,Sci-Fi",Discotek Media,Kokusai Eigasha,Toei Animation,2522,13
Terra Formars: Bugs 2-hen,2014-08-19 2014-11-19,None,00:26:00,Finished Airing,OVA,None,2,R 17,Action Sci-Fi Horror,"None found, add some",Warner Bros. Japan Ultra Super Pictures Animatic MAGES. Good Smile Company,LIDENFILMS,35948,15
Haikyuu!! Movie 4: Concept no Tatakai,2017-09-29,none,01:28:00,Finished Airing,Movie,none,1,PG 13,Sports,none,none,Production I.G,78488,74
Neko Machi,2006-08-01,none,00:42:00,Finished Airing,OVA,none,1,PG 13,"Horror,Fantasy",none,none,Toei Video,1462,3
Nouryou Anime: Denkyuu Ika Matsuri,1993-01-01,none,00:05:00,Finished Airing,Movie,none,1,PG 13,"Avant Garde,Horror",none,none,none,827,0
Satsuriku Tenshi Jibril PV,"Apr 1, 2014",none,00:01:00,Finished Airing,Special,none,1,PG 13,Fantasy,none,none,Madhouse,1194,0
Yowai Robot to 10 no Story Project,"Mar 22, 2016",none,00:01:00,Finished Airing,ONA,none,2,G,none,none,none,none,291,0
This Is Not Blue,"Jul 29, 2020",none,00:02:00,Finished Airing,Movie,none,1,PG 13,Avant Garde,none,none,none,1157,3
Funny Pets 2nd Season,"Oct 9, 2006 to Dec 25, 2006",Mondays at 23:45 (JST),00:06:00,Finished Airing,TV,Fall 2006,12,PG 13,Comedy,none,none,none,611,1
Puchimas!: Petit iDOLM@STER Episode 0,2012-10-27,none,00:07:00,Finished Airing,OVA,none,1,PG 13,"Comedy,Slice of Life",none,none,Gathering,4448,2
Zhandou Wang Zhi Jufeng Zhan Hun,"2012-08-23,2013-08-18",Unknown,00:24:00,Finished Airing,TV,Summer 2012,52,PG,Action,none,Alpha Group Co. Ltd.,"add some,None found,",968,22
Idol Land PriPara,"Aug 18, 2021 to ?",none,Unknown,Currently Airing,ONA,none,0,PG 13,Slice of Life,none,Tatsunoko Production,"None found,,add some",1563,17
My Melody no Akazukin,"Jul 22, 1989",none,00:33:00,Finished Airing,Movie,none,1,G,Fantasy,none,Sanrio,none,627,0
Fate/kaleid liner Prisma☆Illya,2013-07-13 2013-09-14,6 01:30:00,00:24:00,Finished Airing,TV,Summer 2013,10,PG 13,Action Fantasy Comedy,Sentai Filmworks,KlockWorx Kadokawa Shoten AT-X Tokyo MX Docomo Anime Store Kadokawa Media House Lantis DAX Production Notes Dwango,SILVER LINK.,268120,1017
KO Seiki Beast Sanjuushi,1992-05-02 1993-11-21,None,00:27:00,Finished Airing,OVA,None,7,PG 13,Action Comedy Adventure Fantasy Supernatural,Nozomi Entertainment,Movic Sony Music Entertainment,Zero-G Room animate Film,2935,11
Feng Ling Yu Xiu,2017-03-31 2021-02-27,None,00:23:00,Finished Airing,ONA,None,12,PG 13,Action Adventure,bilibili,"None found, add some",Sunflowers,3586,32
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,2019-10-19,none,01:12:00,Finished Airing,Movie,none,1,G,"Action,Fantasy",none,none,Toei Animation,3681,16
Karakuri Kiden: Hiwou Senki,"2000-10-24,2001-05-01","tue,18:30:00",00:25:00,Finished Airing,TV,Fall 2000,26,None,"Adventure,Action",Bandai Entertainment,Bandai Visual,Bones,1969,3
Idol Ace,2005-01-01,none,00:02:00,Finished Airing,ONA,none,1,PG 13,Comedy,none,none,OLM,1098,2
Poketoon,"2020-06-04,2021-12-28",none,00:08:00,Finished Airing,ONA,none,8,G,"Comedy,Adventure",none,"Creatures Inc.,Nintendo","Studio Colorido,team Yamahitsuji,Mimoid,Magic Bus,Studio GOONEYS,DandeLion Animation Studio,Pancake",6512,16
Mix: Meisei Story,2019-04-06 2019-09-28,6 17:30:00,00:23:00,Finished Airing,TV,Spring 2019,24,PG 13,Romance Sports Drama,Funimation,Yomiuri Telecasting Shogakukan-Shueisha Productions,OLM,23888,64
Non Non Biyori,"2013-10-08,2013-12-24","tue,02:05:00",00:24:00,Finished Airing,TV,Fall 2013,12,PG 13,Slice of Life,Sentai Filmworks,"TV Tokyo,Media Factory,AT-X,Lantis,Sony Music Communications,Kadokawa Shoten",SILVER LINK.,413494,6156
Diamond no Ace: Second Season OVA,2016-08-15 2016-10-17,None,00:24:00,Finished Airing,OVA,None,2,PG 13,Sports,None,Kodansha,Production I.G Madhouse,10962,16
Seijo no Maryoku wa Bannou desu,"2021-04-06,2021-06-22","tue,23:30:00",00:23:00,Finished Airing,TV,Spring 2021,12,PG 13,"Fantasy,Romance",Funimation,"Lantis,Kadokawa,Bit grooove promotion",Diomedéa,171347,1059
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,2008-04-19,none,00:28:00,Finished Airing,OVA,none,1,PG 13,"Comedy,Mystery,Adventure",none,none,TMS Entertainment,12905,22
Koutetsujou no Kabaneri Movie 3: Unato Kessen,2019-05-10,none,01:22:00,Finished Airing,Movie,none,1,R 17,"Drama,Action,Fantasy,Horror",none,"Dentsu,Aniplex,Kansai Telecasting,Fuji TV",Wit Studio,125484,244
Kyoufu Shinbun (2014),"Apr 28, 2014 to Aug 1, 2014",none,00:10:00,Finished Airing,ONA,none,16,PG 13,"Fantasy,Supernatural,Horror",none,none,Next Media Animation,2122,6
Toki wa Meguru: Tokyo Station,2014-06-24,none,00:05:00,Finished Airing,ONA,none,1,G,Slice of Life,none,none,A-1 Pictures,5070,4
Time Bokan Series: Yatterman,1977-01-01 1979-01-27,None,00:22:00,Finished Airing,TV,Winter 1977,108,G,Adventure Action Comedy,"None found, add some","None found, add some",Tatsunoko Production,5050,18
Holo no Graffiti,"May 5, 2019 to ?",none,00:01:00,Currently Airing,ONA,none,0,PG 13,Comedy,none,none,Hololive Production,52596,1830
Yagate Kimi ni Naru,"2018-10-05,2018-12-28","fri,21:30:00",00:24:00,Finished Airing,TV,Fall 2018,13,PG 13,"Drama,Girls Love,Romance",Sentai Filmworks,"Kadokawa Media House,AT-X,Sony Music Communications,Kadokawa,Docomo Anime Store",TROYCA,323086,6005
Torajima no Miime,"Aug 6, 1999 to Dec 8, 1999",none,00:10:00,Finished Airing,Special,none,2,G,Slice of Life,none,none,none,1036,0
Moshidora,2011-04-25 2011-05-06,1 22:55:00,00:25:00,Finished Airing,TV,Spring 2011,10,PG 13,Sports Drama,"None found, add some",NHK,Production I.G,21562,20
Wo Qi Ku Le Baiwan Xiulian Zhe,"2021-08-19,2023-02-16",none,00:11:00,Finished Airing,ONA,none,160,PG 13,Fantasy,none,Tencent Penguin Pictures,Soyep,1647,4
Watashi ni Tenshi ga Maiorita! Precious Friends,2022-10-14,none,01:06:00,Finished Airing,Movie,none,1,PG 13,"Comedy,Girls Love",none,"Kadokawa Animation,flying DOG,Kadokawa",Doga Kobo,18936,67
Cardcaptor Sakura: Clear Card-hen Recap,2018-04-01,None,00:25:00,Finished Airing,Special,None,1,PG,Fantasy Comedy Adventure Romance,"None found, add some","None found, add some","None found, add some",6221,14
Anisama,"Aug 30, 2017",none,00:04:00,Finished Airing,ONA,none,1,PG,"Adventure,Fantasy,Comedy",none,none,none,2232,0
Xie Wang Zhui Qi,"2019-01-24,2019-04-11",none,00:13:00,Finished Airing,ONA,none,13,PG 13,"Comedy,Drama,Romance,Fantasy,Action",none,iQIYI,"Big Firebird Culture,KJJ Animation",23088,154
Liar Liar,"Jul 8, 2023 to ?","sat,22:30:00",00:23:00,Currently Airing,TV,Summer 2023,12,PG 13,Ecchi,none,"Bushiroad Move,Geek Pictures,CyberAgent,Tokyo MX,Kadokawa,BS Asahi,Shochiku",Geek Toys,72653,372
Cardcaptor Sakura: Clear Card-hen,2018-01-07 2018-06-10,7 07:30:00,00:25:00,Finished Airing,TV,Winter 2018,22,PG,Comedy Romance Fantasy Adventure,Funimation,Kodansha NHK Enterprises NHK,Madhouse,117572,634
Fushigi na Kusuri,1965-01-01,none,00:15:00,Finished Airing,Movie,none,1,G,"Award Winning,Slice of Life,Comedy",none,none,none,644,0
Final Fantasy: Unlimited,"2001-10-02,2002-03-26","tue,18:30:00",00:24:00,Finished Airing,TV,Fall 2001,25,PG 13,"Sci-Fi,Fantasy,Adventure,Action",ADV Films,"TV Tokyo Music,Dentsu,TV Tokyo",Gonzo,36119,78
Ling Jian Zun 2nd Season,2019-05-28 2019-09-06,None,00:10:00,Finished Airing,ONA,None,30,PG 13,Action Fantasy Adventure Romance,"None found, add some","None found, add some",Soyep,2605,5
Tu Xia Zhi Qing Li Chuanshuo,"Feb 21, 2015",none,01:35:00,Finished Airing,Movie,none,1,PG,"Comedy,Action,Adventure",none,none,none,366,0
Orient,"2022-01-06,2022-03-24","thur,00:00:00",00:23:00,Finished Airing,TV,Winter 2022,12,PG 13,"Adventure,Action,Fantasy",none,"bilibili,TV Tokyo,Avex Pictures,AT-X,Crunchyroll,Kodansha",A.C.G.T.,105609,518
Ao no Exorcist: Kuro no Iede,2011-10-26,none,00:24:00,Finished Airing,Special,none,1,PG 13,Fantasy,Aniplex of America,Aniplex,A-1 Pictures,131687,120
91 Days,"2016-07-09,2016-10-01","sat,01:55:00",00:24:00,Finished Airing,TV,Summer 2016,12,R 17,"Drama,Action","Crunchyroll,Funimation","Shochiku,Shochiku Music Publishing,Mainichi Broadcasting System",Shuka,691079,7777
Asatte no Houkou.,"2006-10-06,2006-12-22","fri,01:55:00",00:25:00,Finished Airing,TV,Fall 2006,12,PG 13,"Supernatural,Drama",Sentai Filmworks,"Bandai Visual,TBS,Lantis,Mag Garden",J.C.Staff,24350,41
Doupo Cangqiong 4th Season,"2021-03-28,2021-08-29",none,00:24:00,Finished Airing,ONA,none,24,PG 13,"Romance,Supernatural,Adventure,Action,Fantasy",none,Tencent Penguin Pictures,Motion Magic,6292,94
Tsubuyaki-tai,"2011-01-01,2012-01-01",none,00:05:00,Finished Airing,ONA,none,52,PG 13,Comedy,none,none,none,213,0
Ginga no Uo Ursa Minor Blue,1993-05-21,none,00:23:00,Finished Airing,OVA,none,1,PG,"Fantasy,Award Winning",none,"Ai ga areba Daijobu,Tamura Shigeru Studio,Project Team Sarah","add some,None found,",3273,8
Rakuen Tsuihou,2014-11-15,none,01:43:00,Finished Airing,Movie,none,1,R+,"Sci-Fi,Action",Aniplex of America,"Kinoshita Koumuten,Toei Animation",Graphinica,98767,306
Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure,1994-03-25,none,00:27:00,Finished Airing,OVA,none,1,PG 13,"Comedy,Sci-Fi",Geneon Entertainment USA,Pioneer LDC,AIC,9623,6
Kara no Kyoukai Movie: Mirai Fukuin - Manner Movie,2013-09-28,none,00:01:00,Finished Airing,Movie,none,1,G,Drama,Aniplex of America,Aniplex,ufotable,10096,2
Hua Jianghu: Ling Zhu,"2015-10-08,2016-07-14",none,00:19:00,Finished Airing,ONA,none,41,R 17,"Fantasy,Drama",none,none,Rocen,1484,6
Kidou Senshi Gundam: Suisei no Majo - Prologue,2022-07-14,none,00:24:00,Finished Airing,Special,none,1,R 17,Sci-Fi,none,"Bandai Namco Filmworks,Sotsu,Mainichi Broadcasting System",Sunrise,38337,56
Larva Island Season 2,"Mar 1, 2019",none,00:08:00,Finished Airing,ONA,none,13,G,Comedy,none,none,none,502,1
Sora to Umi no Aida,"Oct 4, 2018 to Dec 20, 2018",Thursdays at 00:00 (JST),00:23:00,Finished Airing,TV,Fall 2018,12,PG 13,"Adventure,Sci-Fi,Fantasy",Sentai Filmworks,Half H.P Studio,TMS Entertainment,20708,21
Taifuu 14-gou,2018-01-01,none,00:06:00,Finished Airing,Movie,none,1,G,Slice of Life,none,Geidai Animation,none,74,0
Kirakira☆Precure A La Mode Movie: Paritto! Omoide no Mille-Feuille!,2017-10-28,none,01:10:00,Finished Airing,Movie,none,1,G,"Action,Fantasy,Slice of Life",none,none,Toei Animation,3065,3
Kirakira Happy★Hirake! Cocotama,"2018-09-06,2019-09-26","thur,17:55:00",00:24:00,Finished Airing,TV,Fall 2018,55,PG,"Fantasy,Slice of Life",none,TV Tokyo,OLM,883,1
BanG Dream! Movie: Poppin' Dream!,2022-01-01,none,01:10:00,Finished Airing,Movie,none,1,PG 13,none,none,none,SANZIGEN,7760,57
Rozen Maiden (2013),"2013-07-05,2013-09-27","fri,01:58:00",00:24:00,Finished Airing,TV,Summer 2013,13,PG 13,"Comedy,Drama,Action",Sentai Filmworks,TBS,Studio Deen,76544,228
Wolfgang the Sonic Show,"Mar 24, 2017",none,00:04:00,Finished Airing,Movie,none,1,PG 13,Comedy,none,The Village of Marchen,none,59,0
Dumbbell Nan Kilo Moteru?: Silverman-Gym Oni Tore Kouza,"2019-11-27,2019-12-25",none,00:18:00,Finished Airing,Special,none,2,PG 13,"Comedy,Ecchi",none,none,Doga Kobo,4002,1
Kamigawa: Kagayakeru Sekai,2022-02-16,none,00:03:00,Finished Airing,ONA,none,1,PG 13,"Action,Fantasy",none,Maxilla,Wit Studio,1028,7
God Eater Prologue,2009-09-28,None,00:12:00,Finished Airing,Special,None,1,R 17,Action Fantasy Sci-Fi,"None found, add some","None found, add some",ufotable,35212,26
"Wake Up, Girl Zoo! Taiwan de Go!","Feb 4, 2017",none,00:01:00,Finished Airing,Special,none,1,G,Comedy,none,none,Karasfilms,969,0
Suki desu Suzuki-kun!!,"Dec 18, 2009 to Jul 26, 2010",none,00:15:00,Finished Airing,OVA,none,2,PG 13,Romance,none,none,none,5335,7
Tanukichi no Ohanashi,"May 28, 1931",none,00:11:00,Finished Airing,Movie,none,1,G,Fantasy,none,none,none,343,1
Umayuru,"2022-10-16,2023-03-24",none,00:03:00,Finished Airing,ONA,none,24,PG 13,Comedy,none,none,Scooter Films,2934,6
A-Channel: +A-Channel,2011-05-25 2011-10-26,None,00:02:00,Finished Airing,Special,None,11,PG 13,Slice of Life Comedy,Sentai Filmworks,Aniplex,Studio Gokumi,19398,12
Yu Zhi Ge,"Sep 15, 2017",none,00:09:00,Finished Airing,ONA,none,1,G,Drama,none,none,Hezmon Animation,21,0
Ze Tian Ji 5th Season,"2020-03-16,2020-05-25",none,00:20:00,Finished Airing,ONA,none,12,PG 13,"Adventure,Fantasy,Action",none,"China Literature Limited,Tencent Penguin Pictures",Foch Films,2166,2
Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie,"Aug 24, 2018",none,00:57:00,Finished Airing,Movie,none,1,PG,"Sci-Fi,Adventure",none,TBS,OLM,618,1
Haru no Shikumi,2010-01-01,none,00:04:00,Finished Airing,Movie,none,1,G,Avant Garde,none,none,none,1157,0
Document Taiyou no Kiba Dagram,1983-07-09,none,01:20:00,Finished Airing,Movie,none,1,R 17,"Sci-Fi,Drama,Action",none,none,Sunrise,994,2
Mirai Koushi Harima SACLA NEX RAY,"Oct 12, 2017",none,00:02:00,Finished Airing,ONA,none,1,G,Sci-Fi,none,none,Kamikaze Douga,636,0
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,2012-08-25,none,01:46:00,Finished Airing,Special,none,1,PG 13,"Action,Fantasy,Adventure",none,Fuji TV,Toei Animation,67056,84
Shounen Sunday CM: Ganba! Fly High,1996-01-01,none,29 sec.,Finished Airing,Special,none,1,G,Sports,none,none,none,369,1
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",2022-10-02 2022-12-25,7 22:00:00,00:23:00,Finished Airing,TV,Fall 2022,13,PG 13,Action Fantasy,"None found, add some",Yomiuri TV Enterprise Muse Communication Jinnan Studio Crunchyroll Nippon Columbia Hakuhodo Square Enix Nikkatsu,EMT Squared,163383,890
IRoid: Koi no Yuukou Frontier,"Dec 14, 2015",none,30 sec.,Finished Airing,ONA,none,1,G,none,none,Quick Corporation,Shaft,478,0
Danball Senki W,"2012-01-18,2013-03-20",Unknown,00:23:00,Finished Airing,TV,Winter 2012,58,G,Action,Dentsu Entertainment USA,none,OLM,6250,26
Katte ni Shirokuma,"Dec 21, 1987",none,00:32:00,Finished Airing,OVA,none,1,R+,Comedy,none,Artmic,AIC,716,0
Project A-Ko 4: Final,1989-10-07,none,00:53:00,Finished Airing,OVA,none,1,R+,"Comedy,Sci-Fi,Action","Central Park Media,Discotek Media",Pony Canyon,Studio Fantasia,5385,1
Buggy Map,"Dec 9, 2014 to Apr 1, 2015",none,00:01:00,Finished Airing,Special,none,2,G,Avant Garde,none,none,none,381,0
Mahou Shoujo Taisen,"Apr 8, 2014 to Sep 30, 2014",Tuesdays at 21:55 (JST),00:04:00,Finished Airing,TV,Spring 2014,26,PG 13,none,none,none,Gainax,16557,5
Xiong Chumo: Xiongxiong Leyuan 2,2018-06-09,none,00:13:00,Finished Airing,TV,?,52,PG,"Comedy,Adventure",none,none,none,78,0
Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,"2023-04-08,2023-06-24","sat,22:30:00",00:23:00,Finished Airing,TV,Spring 2023,12,PG 13,"Comedy,Fantasy",none,"Tokyo MX,Nikkatsu,FUTURE LEAP,BS Fuji,KlockWorx",Gekkou,76676,373
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","2020-07-04,2020-09-26","sat,23:30:00",00:23:00,Finished Airing,TV,Summer 2020,13,R 17,"Fantasy,Action",Aniplex of America,"ADK Marketing Solutions,AT-X,Q-Tec,Aniplex,Docomo Anime Store,Contents Seed,Movic,BS11,Tokyo MX,Studio Mausu,Kadokawa,Medicos Entertainment",SILVER LINK.,741649,5687
Xi Mu Ba Long Jiazu,2012 to ?,none,00:12:00,Finished Airing,TV,?,88,PG,Adventure,none,none,none,54,0
Boku no Hero Academia (ONA),2022-06-16,none,00:23:00,Finished Airing,ONA,none,2,PG 13,Sports,none,none,Bones,37989,50
Aika-chan no Chikyuu,"Oct 1, 1993",none,00:33:00,Finished Airing,OVA,none,1,G,none,none,none,none,225,0
Mao Zhi Ming,"2021-10-26,2022-01-11",none,00:09:00,Finished Airing,ONA,none,12,G,Comedy,none,bilibili,"None found,,add some",1239,5
Cream Lemon: New Generation,"Mar 23, 2006 to May 31, 2006",none,00:30:00,Finished Airing,OVA,none,4,R 17,"Drama,Romance",none,Fairy Dust,Radix,1926,2
Kanojo ga Koushaku-tei ni Itta Riyuu,"2023-04-10,2023-06-26","mon,21:30:00",00:23:00,Finished Airing,TV,Spring 2023,12,PG 13,"Fantasy,Romance",none,"AT-X,Crunchyroll,Frontier Works,Glovision,arma bianca,Happinet Phantom Studios,Lantis,D&C WEBTOON Biz,Bandai Namco Music Live,Kadokawa",Typhoon Graphics,97311,880
Tropical-Rouge! Precure Movie: Yuki no Princess to Kiseki no Yubiwa!,2021-10-23,None,01:10:00,Finished Airing,Movie,None,1,G,Action Fantasy,"None found, add some",ADK Emotions ABC Animation Bandai Marvelous,Toei Animation,2004,8
Wu Long Xiao Zi: Yong Chuang Le Huo Dao,2013 to ?,none,00:12:00,Finished Airing,TV,?,26,PG,Fantasy,none,none,none,51,0
Pa-Pa-Pa the ★ Movie: Perman,2003-03-08,none,00:31:00,Finished Airing,Movie,none,1,PG,"Comedy,Adventure",none,"TV Asahi,Shogakukan-Shueisha Productions,Asatsu DK",Shin-Ei Animation,780,2
Air Gear Special,2007-03-21,none,00:23:00,Finished Airing,Special,none,1,R+,Sports,"Funimation,ADV Films",none,Toei Animation,46200,74
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,1997-03-15,none,00:10:00,Finished Airing,Movie,none,1,G,"Fantasy,Comedy",none,none,J.C.Staff,1404,3
Yakousei no Ikimono,"Aug 2, 2015",none,00:04:00,Finished Airing,ONA,none,1,PG 13,Avant Garde,none,none,none,48,0
Magic Tree House,2012-01-07,None,01:45:00,Finished Airing,Movie,None,1,PG,Adventure,"None found, add some",Media Factory GAGA Dentsu TV Tokyo Yahoo! Japan TV Osaka,Ajia-do,7368,6
Andersen Douwa: Ningyohime,1975-03-21,none,01:08:00,Finished Airing,Movie,none,1,G,"Romance,Fantasy",Discotek Media,none,Toei Animation,5579,32
Arifureta Shokugyou de Sekai Saikyou Specials,"2019-12-25,2020-02-26",none,00:08:00,Finished Airing,Special,none,2,PG 13,"Adventure,Action,Fantasy",none,none,"asread.,White Fox",67535,107
Inuyashiki,"2017-10-13,2017-12-22","fri,00:55:00",00:22:00,Finished Airing,TV,Fall 2017,11,R 17,"Drama,Action,Sci-Fi",none,"DMM pictures,Aniplex,Dentsu,Kodansha,Fuji TV",MAPPA,621175,3690
Battle Spirits: Heroes,"2011-09-18,2012-09-02",Unknown,00:24:00,Finished Airing,TV,Fall 2011,50,PG,Sci-Fi,none,Nagoya Broadcasting Network,Sunrise,2154,4
Gegege no Kitarou (2007),"2007-04-01,2009-03-29","sun,09:00:00",00:24:00,Finished Airing,TV,Spring 2007,100,G,"Comedy,Fantasy,Horror",none,none,Toei Animation,5460,11
Bloody Date,"Nov 29, 2006",none,00:05:00,Finished Airing,ONA,none,1,R 17,Horror,none,none,none,4118,0
Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,1993-12-18,none,01:30:00,Finished Airing,Movie,none,1,PG 13,"Drama,Action,Sci-Fi",none,"Tokuma Shoten,Tokuma Japan Communications,Kitty Films",Kitty Film Mitaka Studio,33318,55
Pokemon: Pikachu to Eievui Friends,2013-07-13,none,00:21:00,Finished Airing,Movie,none,1,PG,"Adventure,Comedy,Fantasy",The Pokemon Company International,none,OLM,9593,6
Toriko,"2011-04-03,2014-03-30","sun,09:00:00",00:23:00,Finished Airing,TV,Spring 2011,147,PG 13,"Comedy,Gourmet,Adventure,Fantasy,Action",Funimation,"Yomiko Advertising,Fuji TV,Shueisha",Toei Animation,125136,833
Xiongmao Yangyang He Xiao Huoban,2020 to ?,none,00:13:00,Finished Airing,TV,?,26,PG,none,none,none,none,67,0
Nazo no Kanojo X,"2012-04-08,2012-07-01",Unknown,00:24:00,Finished Airing,TV,Spring 2012,13,R 17,Romance,Sentai Filmworks,"Yomiuri Advertising,Atelier Musa,Starchild Records,Kodansha",Hoods Entertainment,302590,3024
Yeon-ae Halujeon,"2018-01-12,2018-02-23",none,00:02:00,Finished Airing,ONA,none,10,PG 13,"Slice of Life,Romance",none,none,"Red Dog Culture House,LICO",17718,43
Chain Chronicle: Haecceitas no Hikari Part 1,2016-12-03,none,01:26:00,Finished Airing,Movie,none,1,PG 13,"Adventure,Fantasy,Action",none,"flying DOG,Showgate,Sound Team Don Juan,Slow Curve,Pazzy Entertainment","Graphinica,Telecom Animation Film",23463,17
Granblue Fantasy The Animation,2017-04-02 2017-06-25,7 00:00:00,00:23:00,Finished Airing,TV,Spring 2017,13,PG 13,Adventure Fantasy,Aniplex of America,Aniplex Tohokushinsha Film Corporation Cygames,A-1 Pictures,191518,308
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,2005-12-11,none,00:50:00,Finished Airing,OVA,none,1,PG,"Drama,Comedy",Funimation,"Hal Film Maker,MediaNet,GDH",Gonzo,14049,31
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,2021-08-27,none,01:35:00,Finished Airing,Movie,none,1,PG 13,"Fantasy,Action",Sentai Filmworks,none,SILVER LINK.,32867,67
Wei Wei Hou: Qingchun Fangxian,2015-12-15,none,00:10:00,Finished Airing,TV,?,26,PG,Fantasy,none,none,none,37,0
Rec,"2006-02-03,2006-03-31","fri,01:55:00",00:13:00,Finished Airing,TV,Winter 2006,9,PG 13,"Comedy,Drama,Romance",none,"Frontier Works,TBS,Movic,Shogakukan,Pony Canyon",Shaft,111397,316
Wan Ou Qibing,"Aug 4, 2017",none,01:28:00,Finished Airing,Movie,none,1,PG,"Adventure,Fantasy",none,none,none,60,0
Fate/stay night Movie: Heaven's Feel - III. Spring Song,2020-08-15,none,02:02:00,Finished Airing,Movie,none,1,R 17,"Action,Supernatural,Fantasy",Aniplex of America,"Notes,Aniplex,Kadokawa",ufotable,326166,7770
Shogi Hour,"Oct 5, 2008",none,00:07:00,Finished Airing,ONA,none,1,G,Comedy,none,Space Neko Company,none,981,0
Eien no Aselia,"Jun 24, 2005 to Mar 24, 2006",none,00:29:00,Finished Airing,OVA,none,2,PG 13,"Adventure,Drama,Fantasy",none,Japan Home Video,Studio Matrix,4661,4
Taiyou no Mokushiroku: A Spirit of the Sun,"2006-09-17,2006-09-18",none,1 hr. 17 min. per ep.,Finished Airing,Special,none,2,R 17,"Drama,Sci-Fi",Maiden Japan,Tohokushinsha Film Corporation,Madhouse,3100,3
Vampiyan Kids Specials,"Oct 25, 2002 to Nov 25, 2002",none,00:23:00,Finished Airing,Special,none,3,G,"Comedy,Fantasy",none,none,Production I.G,291,0
Selection Project,"2021-10-01,2021-12-24","fri,22:00:00",00:23:00,Finished Airing,TV,Fall 2021,13,PG 13,none,Funimation,Kadokawa,Doga Kobo,42390,377
Osomatsu-san 3rd Season,"2020-10-13,2021-03-30","tue,01:30:00",00:23:00,Finished Airing,TV,Fall 2020,25,R 17,Comedy,none,"Dentsu,TV Tokyo,Rakuonsha,Daiichi Shokai,Avex Pictures",Pierrot,21711,100
Niigata no Edamame-ou Shiba,"Apr 8, 2019",none,30 sec. per ep.,Finished Airing,ONA,none,3,G,none,none,none,none,376,0
Little Busters! EX,"2014-01-29,2014-07-30",none,00:24:00,Finished Airing,Special,none,8,PG 13,"Drama,Supernatural,Comedy,Romance",Sentai Filmworks,none,J.C.Staff,54115,153
Jungle Taitei Movie (1997),1997-08-01,none,01:34:00,Finished Airing,Movie,none,1,G,"Adventure,Fantasy","Discotek Media,NYAV Post,Media Blasters",Shochiku,Tezuka Productions,4256,14
Mahoujin Guruguru,"1994-10-13,1995-09-14","4,19:30:00",00:23:00,Finished Airing,TV,Fall 1994,45,G,"Comedy,Fantasy,Adventure","None found,,add some","Dentsu,Asahi Broadcasting",Nippon Animation,10644,72
Jing: Shuang Cheng 2nd Season,"2021-11-15,2022-02-14",none,00:18:00,Finished Airing,ONA,none,18,R 17,"Adventure,Fantasy,Action",none,Foch Films,"None found,,add some",676,9
Konohana no Sakuya Mori,2015-01-01,none,00:11:00,Finished Airing,Movie,none,1,G,Avant Garde,none,none,Tomoyasu Murata Company,708,1
Joubuna Tire!,1980-01-01,none,00:01:00,Finished Airing,Special,none,1,G,none,none,none,none,1021,0
"Onihei: Sono Otoko, Heizou Hasegawa",2017-02-22,none,00:40:00,Finished Airing,OVA,none,1,R+,none,none,TMS Entertainment,Studio M2,3392,2
Tsuru Shitae Waka Kan,2011-01-01,none,00:01:00,Finished Airing,Movie,none,1,G,none,none,"Yamamura Animation, Inc.",none,732,0
Kokoroya,2014-01-01,none,00:25:00,Finished Airing,OVA,none,1,G,Sci-Fi,none,none,Toei Animation,483,0
Xiao Mo Tou Baolu La!,"2022-01-15,2022-04-02",none,00:08:00,Finished Airing,ONA,none,13,PG 13,Comedy,none,none,Wawayu Animation,4966,21
Daisougen to Hakuba,2000-07-01,none,00:25:00,Finished Airing,OVA,none,1,G,Adventure,none,Shinano Kikaku,Toei Animation,494,0
